rank, name, weight(2JHC), weight(1JHC), weight(3JHH), weight(3JHC), weight(2JHH), weight(1JHN), weight(3JHN), weight(2JHN)
1, hybrid, 0.175, 0.332, 0.130, 0.217, 0.087, 0.018, 0.193, 0.123
2, Quantum Uncertainty, 0.297, 0.259, 0.232, 0.272, 0.112, 0.110, 0.414, 0.389
3, [kakr] Solve chem together, 0.235, 0.075, 0.351, 0.188, 0.166, 0.000, 0.084, 0.190
4, Hyperspatial Engineers, 0.175, 0.154, 0.145, 0.210, 0.275, 0.000, 0.123, 0.108
5, DL guys, 0.030, 0.092, 0.000, 0.039, 0.000, 0.041, 0.001, 0.010
6, Robin N, 0.000, 0.000, 0.000, 0.000, 0.029, 0.290, 0.000, 0.000
7, Pinkman Chemistry Lab, 0.000, 0.000, 0.000, 0.000, 0.048, 0.190, 0.000, 0.000
8, 4 GM and the brain, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
9, Jaechang Lim, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
10, Kha Zidmie Josh Kyle Akira, 0.000, 0.000, 0.000, 0.000, 0.000, 0.136, 0.000, 0.000
11, jacobkie, 0.000, 0.000, 0.000, 0.000, 0.033, 0.000, 0.000, 0.000
12, Team Bird Brain, 0.087, 0.075, 0.142, 0.074, 0.169, 0.184, 0.185, 0.181
13, KM, 0.000, 0.000, 0.000, 0.000, 0.081, 0.003, 0.000, 0.000
14, Squid, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
15, Bra Ket, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
16, , 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
17, On arriiiiiiive, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
18, TUM KDD, 0.000, 0.013, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
19, toshi_k, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
20, K V Z F O, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
21, sweet, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
22, Vanilla SchNet Tony Y, 0.000, 0.000, 0.000, 0.000, 0.000, 0.025, 0.000, 0.000
23, fugusuki, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
24, haha nice, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
25, daimaru, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
26, bananas, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
27, Twins, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
28, Walter White, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
29, paohinokkynyanpShun_PIcolun, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
30, QuMantum Field Theory, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
31, hklee, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
32, Mike, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
33, Rapidsai Clara, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
34, Transformers, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
35, Alamjeet Singh, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
36, C14H9Cl5, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
37, CHIMPS, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
38, , 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
39, Support Vector Machines or else, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
40, DavidTen, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
41, naknak, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
42, The meme team, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
43, 2 Experts and the farmer, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
44, Eureka, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
45, ML kickoff, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
46, Sebastian Dick, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
47, WaterWater, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
48, Fukyouwaon, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
49, slider, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
50, GaoYL, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
51, [odsai] Feature Engineered No GNN, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
52, Zhuang Jia, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
53, Mickey, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
54, daijin12, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
55, Optimo, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
56, julianmukaj, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
57, Fools Gold, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
58, Hung, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
59, [odsai] Anton Bazdyrev, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
60, Vicens Gaitan No QM9, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
61, Kernel_Master, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
62, Ashesh, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
63, los pollos has status running, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
64, Peppermint, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
65, gaowh95, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
66, J arrive paaaas, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
67, Youri Matiounine, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
68, Chemical Brothers, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
69, canorbal shakhrayv [odsai], 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
70, Aleksandr Kosolapov, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
71, Pastuhi i Gus, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
72, lesc, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
73, tomo20180402, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
74, Altered Carbon, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
75, Philippe Lonjoux, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
76, Don Hector Salamanca, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
77, Ian M, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
78, CrystalBallpredict, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
79, Aindri, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
80, Manel, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
81, FabienDaniel, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
82, BondJamesBond, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
83, Little kekules, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
84, UpUpUp, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
85, Time to sleep, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
86, XY, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
87, Sora, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
88, [odsai] Vladislav Bakhteev, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
89, 30CrMnSiA, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
90, Love is a Parasite, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
91, adityasinha, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
92, WillZhong, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
93, LetsPlay, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
94, MykJimFafHar, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
95, [skydisc]wangzhaoxu, 0.000, 0.000, 0.000, 0.000, 0.000, 0.002, 0.000, 0.000
96, JuntaroMatsumoto, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
97, 42ATC, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
98, Mike Zhu, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
99, MoleculesLearning, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
100, Noise_A, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
101, Turbo, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
102, Heng Zheng, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
103, wayward molecules, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
104, Vadym, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
105, Hugues, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
106, LiDer, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
107, jaleto, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
108, CoffeeEveryday, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
109, Antonio Sergio, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
110, somnambWl, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
111, TYYang, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
112, chemistry, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
113, tkg, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
114, Molecular man, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
115, MartinChobanyan, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
116, Helgi, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
117, 6 CHAMPionS, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
118, Stephen Foster, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
119, physyuki, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
120, Yuko Ishizaki, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
121, XiaokangWang, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
122, SimonChen, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
123, Andy Atkinson, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
124, MA Junyi, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
125, Ubique, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
126, LightGBM, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
127, snovik, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
128, [odsai] Mihail Parushkin, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
129, Jordi Z, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
130, Morphy, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
131, TNT, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
132, AnhMeow, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
133, lHou, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
134, Charlie, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
135, RezaV, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
136, mhviraf, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
137, [odsai] GuineaPigAndGoose, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
138, Goose, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
139, Evgeny Rakcheev, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
140, cinco, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
141, 12345, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
142, KongliangYu, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
143, master, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
144, Venki Anand, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
145, Elahi, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
146, songkai_quantum, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
147, R MAT, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
148, attic, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
149, takunishino, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
150, SPQR [odsai], 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
151, [odsai] il_buono, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
152, , 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
153, Buffalo Spdwy, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
154, tknr, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
155, [odsai] belgraviton, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
156, Yi23333, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
157, [odsai] Vladimir Larin, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
158, dn, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
159, ML_Bear, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
160, emon, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
161, sergey5, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
162, YaGana SheriffHussaini, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
163, Boris Silantev, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
164, Joglife Tan, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
165, you1010kawa, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
166, Ryota, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
167, mandarinente, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
168, ML for CHAMPS, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
169, H20, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
170, Yoshihiro Zhongliang, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
171, atomic_kitchen, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
172, ykskks, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
173, Takuya Batake, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
174, who needs chemistry knowledge, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
175, bye, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
176, Khalil S, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
177, Autumnn, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
178, firstbloodY, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
179, Riza Isik, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
180, GurchetanSingh, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
181, Ahmed Mohy, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
182, BX, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
183, Soonhwan Kwon, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
184, patcruzchoihaostarsOfyou, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
185, yeonmin, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
186, Karsten Tiemann, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
187, EvgenyG, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
188, molatomic, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
189, [dbchainai]Ly, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
190, RandomGuy, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
