,1JHC,1JHN,2JHC,2JHH,2JHN,3JHC,3JHH,3JHN,CV
"layer8 (25_2), 1234",-1.951673,-1.8721,-3.0754,-3.6993,-3.4827,-2.9464,-3.6445,-3.552,-3.028009125
"layer8 (25_2), 12345",-1.9192,-1.7966,-3.052,-3.634,-3.345,-2.946,-3.645,-3.552,-2.986225
"layer8 (25_2), 7",-1.8292,-1.8431,-2.9562,-3.5755,-3.3758,-2.8341,-3.5724,-3.5823,-2.946075
"layer8 (25_2), 77",-1.8437,-1.8002,-2.9573,-3.5707,-3.3474,-2.847,-3.6202,-3.565,-2.9439375
"layer8 (25_2), 777",-1.8375,-1.8922,-2.9424,-3.5806,-3.4439,-2.8189,-3.60272,-3.6345,-2.96909
"layer8 (25_2), 7777",-1.8636,-1.8256,-2.9524,-3.5527,-3.4099,-2.8587,-3.6464,-3.5884,-2.9622125
"layer8 (25_2), 77777",-1.8601,-1.9153,-2.9975,-3.5829,-3.3962,-2.8855,-3.6223,-3.6078,-2.98345
"layer6 (25_2), 2019",-1.8916,-1.9022,-3.0129,-3.6571,-3.4206,-2.8987,-3.6474,-3.6239,-3.0068
"layer6 (25_2), 2020",-1.8822,-1.9285,-2.9909,-3.5956,-3.3882,-2.8908,-3.6407,-3.6525,-2.9962
layer6 (25_2),-1.799,-1.9894,-2.9099,-3.5567,-3.3363,-2.7968,-3.5443,-3.5445,-2.9346125
layer6 (25_2),-1.79,-1.9537,-2.9032,-3.5452,-3.333,-2.8009,-3.5299,-3.5391,-2.924375
"layer 8 (25_3), 2019",-1.9258,-1.8589,-3.0456,-3.6072,-3.4263,-2.9451,-3.6591,-3.6216,-3.0112
"layer 6 (25_3), 8899",-1.8591,-1.8404,-2.9854,-3.6076,-3.4196,-2.8605,-3.6179,-3.5919,-2.9728
"layer 8 (25_3), 8894",-1.9548,-1.9388,-3.0826,-3.6255,-3.52,-2.9735,-3.6984,-3.6614,-3.056875
"layer 8 (25_3), 8895",-1.9229,-1.8374,-3.0222,-3.6125,-3.3928,-2.9284,-3.6765,-3.6159,-3.001075